,Nume,Pret,Clasa,Review,Discount
193,"Frigider cu 2 usi Whirlpool T TNF 8211 OX, 423l, 180 cm, 6th sense function, digital display, A+ class, Inox",2456.0,lipsa,0,0.2
194,"Frigider incorporabil Neff KI8513D30, 222 l, Clasa A++, FreshSense, Touchcontrol, H 140 cm",4499.99,A++,0,0.2
195,"Frigider LDK LF 220, Clasa A+, Capacitate 238 L, H 143,5 cm, 5 ani garantie, Alb",919.99,A+,21,0.2
196,"Frigider Samus SX540NFDA+, 425l, Clasa A+, Full No Frost, Inox",1849.99,A+,0,0.2
197,"Frigider cu o usa Daewoo FN-153, 124 l, Clasa A+, H 91.5 cm, Alb",969.99,A+,21,0.2
198,"Frigider cu 2 usi Retro, Exquisit, RKGC270/45-16, 208 l, Clasa A++, H 144, Rosu",1789.0,A++,0,0.2
199,"Frigider incorporabil Electrolux ERN1300FOW, 126 l, Clasa A+, H 88 cm",1338.15,A+,2,0.2
200,"Frigider cu 1 usa Retro Exquisit, RKS130-11A++, Capacitate 121l, Clasa A++, H 97.8 cm, Crem",1099.0,A++,0,0.2
201,"Frigider Liebherr KBef 4310 Comfort BioFresh, Clasa A+++, capacitate 366 l, Alb",5099.0,A+++,0,0.2
202,"Frigider 2 usi Liebherr CTN 3223, Comfort NoFrost, Clasa A++, capacitate 273 l, Alb",3043.95,A++,0,0.2
203,"Frigider cu 2 usi incorporabil Liebherr ICUN 3324, 256 L, NoFrost, Clasa A++, Alb",4199.0,A++,0,0.2
204,"Frigider cu doua usi Arctic AD70420N, Full No Frost, 367 l, H 172, Clasa A, Alb",1950.0,A,4,0.2
205,"Mini Frigider Husky Highcube HUS-HC 166 Coca-Cola, Capacitate 115 L, Clasa A+, H 83,5 cm, Rosu",1881.0,A+,1,0.2
206,"Mini Frigider Camry Auto si Home, Capacitate 20L, LCD, Usa Transparenta, 220/12V",545.0,lipsa,0,0.2
